Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
147268,Wired Headphones,1,11.99,1/1/2019 3:07,"9 Lake St, New York City, NY 10001"
148041,USB-C Charging Cable,1,11.95,1/1/2019 3:40,"760 Church St, San Francisco, CA 94016"
149343,Apple Airpods Headphones,1,150,1/1/2019 4:56,"735 5th St, New York City, NY 10001"
149964,AAA Batteries (4-pack),1,2.99,1/1/2019 5:53,"75 Jackson St, Dallas, TX 75001"
149350,USB-C Charging Cable,2,11.95,1/1/2019 6:03,"943 2nd St, Atlanta, GA 30301"
141732,iPhone,1,700,1/1/2019 6:13,"446 Pine St, Atlanta, GA 30301"
149620,Lightning Charging Cable,1,14.95,1/1/2019 6:34,"338 Chestnut St, San Francisco, CA 94016"
142451,AAA Batteries (4-pack),1,2.99,1/1/2019 6:41,"232 12th St, Boston, MA 02215"
146039,34in Ultrawide Monitor,1,379.99,1/1/2019 7:24,"53 River St, San Francisco, CA 94016"
141316,AAA Batteries (4-pack),3,2.99,1/1/2019 7:26,"235 South St, Seattle, WA 98101"
143498,AA Batteries (4-pack),3,3.84,1/1/2019 7:26,"428 Highland St, New York City, NY 10001"
144804,iPhone,1,700,1/1/2019 7:29,"628 Lake St, New York City, NY 10001"
144804,Wired Headphones,1,11.99,1/1/2019 7:29,"628 Lake St, New York City, NY 10001"
145270,Google Phone,1,600,1/1/2019 7:33,"392 4th St, Dallas, TX 75001"
142789,AAA Batteries (4-pack),1,2.99,1/1/2019 7:35,"336 Spruce St, Boston, MA 02215"
148088,Wired Headphones,1,11.99,1/1/2019 7:37,"199 Spruce St, San Francisco, CA 94016"
141364,AA Batteries (4-pack),1,3.84,1/1/2019 7:46,"657 Lincoln St, Dallas, TX 75001"
149586,USB-C Charging Cable,1,11.95,1/1/2019 7:47,"631 Lakeview St, San Francisco, CA 94016"
145878,Macbook Pro Laptop,1,1700,1/1/2019 7:48,"456 5th St, Los Angeles, CA 90001"
146056,Lightning Charging Cable,1,14.95,1/1/2019 7:53,"622 Hill St, Portland, OR 97035"
144994,ThinkPad Laptop,1,999.99,1/1/2019 8:13,"903 Willow St, Los Angeles, CA 90001"
142156,34in Ultrawide Monitor,1,379.99,1/1/2019 8:16,"540 2nd St, San Francisco, CA 94016"
150367,Lightning Charging Cable,1,14.95,1/1/2019 8:25,"576 West St, Los Angeles, CA 90001"
149421,Wired Headphones,1,11.99,1/1/2019 8:31,"920 Willow St, Boston, MA 02215"
143763,Apple Airpods Headphones,1,150,1/1/2019 8:44,"142 Lakeview St, Atlanta, GA 30301"
145082,AAA Batteries (4-pack),3,2.99,1/1/2019 8:48,"133 West St, San Francisco, CA 94016"
145990,AAA Batteries (4-pack),1,2.99,1/1/2019 9:03,"325 Madison St, Dallas, TX 75001"
142193,27in FHD Monitor,1,149.99,1/1/2019 9:08,"912 Cherry St, Boston, MA 02215"
150394,AAA Batteries (4-pack),1,2.99,1/1/2019 9:08,"714 6th St, Boston, MA 02215"
144537,Bose SoundSport Headphones,1,99.99,1/1/2019 9:12,"164 West St, Boston, MA 02215"
147519,AAA Batteries (4-pack),2,2.99,1/1/2019 9:18,"212 Lake St, San Francisco, CA 94016"
146459,Lightning Charging Cable,2,14.95,1/1/2019 9:21,"444 Dogwood St, San Francisco, CA 94016"
